top - 21:38:13 up 2 days, 22:58,  1 user,  load average: 3.45, 14.30, 17.32
Tasks: 1175 total,   1 running, 1174 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.2 us,  0.6 sy,  0.0 ni, 99.2 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem : 511582.2 total, 507940.4 free,   1417.2 used,   2224.5 buff/cache
MiB Swap:   8192.0 total,   8192.0 free,      0.0 used. 507362.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  53035 root      20   0   11376   5316   3424 R   5.9   0.0   0:00.02 top
  53040 root      20   0   11376   5004   3364 S   5.9   0.0   0:00.01 top
  53050 root      20   0   11376   5060   3424 S   5.9   0.0   0:00.01 top
  53055 root      20   0   11376   5008   3368 S   5.9   0.0   0:00.01 top
      1 root      20   0  165668  12120   7684 S   0.0   0.0   0:04.83 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.04 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+
     11 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     12 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     13 root      20   0       0      0      0 S   0.0   0.0   0:00.99 ksoftir+
     14 root      20   0       0      0      0 I   0.0   0.0   0:08.79 rcu_sch+
     15 root      rt   0       0      0      0 S   0.0   0.0   0:00.39 migrati+
     16 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     17 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     18 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     19 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     20 root      rt   0       0      0      0 S   0.0   0.0   0:03.14 migrati+
     21 root      20   0       0      0      0 S   0.0   0.0   0:00.06 ksoftir+
