PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 939296 root      20   0   32.1g  76056   4724 R  75.0   0.0   0:00.12 ego-host
 939296 root      20   0   32.1g   7.1g   7.0g R 100.0   1.4   0:05.31 ego-host
 939296 root      20   0   32.1g  14.2g  14.1g R 100.0   2.8   0:10.51 ego-host
 939296 root      20   0   32.1g  21.3g  21.2g R 100.0   4.3   0:15.69 ego-host
 939296 root      20   0   32.1g  28.4g  28.3g R 100.0   5.7   0:20.88 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 400.0   6.3   0:32.93 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 411.8   6.3   0:56.60 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 411.8   6.3   1:20.65 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 400.0   6.3   1:44.87 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 412.5   6.3   2:08.26 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 394.1   6.3   2:31.38 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 382.4   6.3   2:55.06 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 443.8   6.3   3:18.93 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 417.6   6.3   3:42.51 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 388.2   6.3   4:05.83 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 382.4   6.3   4:29.39 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 393.8   6.3   4:52.55 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 431.2   6.3   5:16.03 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 394.1   6.3   5:40.01 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 429.4   6.3   6:04.21 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 705.9   6.3   6:28.30 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 735.3   6.3   6:51.81 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 825.0   6.3   7:15.68 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 594.1   6.3   7:39.03 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 411.8   6.3   8:01.98 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 400.0   6.3   8:25.27 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 370.6   6.3   8:49.02 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 394.1   6.3   9:12.61 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 382.4   6.3   9:36.10 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 412.5   6.3   9:59.46 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 394.1   6.3  10:22.89 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 394.1   6.3  10:46.14 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 437.5   6.3  11:10.04 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 405.9   6.3  11:33.84 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 411.8   6.3  11:57.66 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 400.0   6.3  12:21.42 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 787.5   6.3  12:45.43 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 843.8   6.3  13:09.57 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 443.8   6.3  13:32.72 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 388.2   6.3  13:56.68 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 400.0   6.3  14:20.61 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 382.4   6.3  14:44.52 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 382.4   6.3  15:08.66 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 425.0   6.3  15:32.16 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 418.8   6.3  15:56.02 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 382.4   6.3  16:19.83 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 394.1   6.3  16:43.56 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 388.2   6.3  17:07.00 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 431.2   6.3  17:30.76 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 388.2   6.3  17:54.73 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 405.9   6.3  18:18.48 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 382.4   6.3  18:42.10 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 418.8   6.3  19:05.76 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 411.8   6.3  19:28.97 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 411.8   6.3  19:52.68 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 388.2   6.3  20:15.94 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 735.3   6.3  20:39.59 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 694.1   6.3  21:03.15 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 425.0   6.3  21:26.45 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 425.0   6.3  21:49.72 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 411.8   6.3  22:13.36 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 382.4   6.3  22:37.21 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 400.0   6.3  23:00.89 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 712.5   6.3  23:24.46 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 411.8   6.3  23:47.43 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 394.1   6.3  24:10.51 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 394.1   6.3  24:34.02 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 400.0   6.3  24:57.49 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 437.5   6.3  25:21.52 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 405.9   6.3  25:45.03 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 411.8   6.3  26:08.34 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 417.6   6.3  26:32.15 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 382.4   6.3  26:55.39 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 400.0   6.3  27:18.36 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 376.5   6.3  27:41.94 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 388.2   6.3  28:05.13 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 388.2   6.3  28:28.54 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 418.8   6.3  28:51.86 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 370.6   6.3  29:15.23 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 388.2   6.3  29:38.01 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 370.6   6.3  30:00.82 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 394.1   6.3  30:23.94 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 412.5   6.3  30:46.64 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 741.2   6.3  31:10.25 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 729.4   6.3  31:33.57 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 370.6   6.3  31:56.31 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 411.8   6.3  32:19.62 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 376.5   6.3  32:42.48 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 417.6   6.3  33:06.27 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 418.8   6.3  33:30.05 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 437.5   6.3  33:53.85 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 412.5   6.3  34:17.07 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 412.5   6.3  34:40.53 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 400.0   6.3  35:04.59 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 427.8   6.3  35:28.68 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 729.4   6.3  35:52.78 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 747.1   6.3  36:16.25 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 394.1   6.3  36:39.32 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 364.7   6.3  37:02.77 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 723.5   6.3  37:26.71 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 382.4   6.3  37:49.79 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 400.0   6.3  38:13.12 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 388.2   6.3  38:36.87 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 388.2   6.3  38:59.77 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 412.5   6.3  39:23.28 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 388.2   6.3  39:46.68 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 405.9   6.3  40:09.87 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 388.2   6.3  40:33.51 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 364.7   6.3  40:56.50 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 405.9   6.3  41:20.53 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 411.8   6.3  41:44.83 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 431.2   6.3  42:08.69 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 437.5   6.3  42:32.67 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 793.8   6.3  42:56.45 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 700.0   6.3  43:20.01 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 425.0   6.3  43:42.97 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 425.0   6.3  44:05.98 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 431.2   6.3  44:29.34 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 418.8   6.3  44:52.39 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 412.5   6.3  45:15.64 ego-host
 939296 root      20   0   34.0g  31.4g  31.4g S 431.2   6.3  45:39.07 ego-host
