PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 988029 root      20   0   32.1g  77536   6204 R  70.6   0.0   0:00.12 ego-host
 988029 root      20   0   32.1g   7.0g   6.9g R  94.1   1.4   0:05.31 ego-host
 988029 root      20   0   32.1g  14.1g  14.0g R 100.0   2.8   0:10.51 ego-host
 988029 root      20   0   32.1g  21.1g  21.1g R 100.0   4.2   0:15.70 ego-host
 988029 root      20   0   32.1g  28.2g  28.1g R 100.0   5.6   0:20.89 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1153   6.3   0:41.98 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1262   6.3   1:41.75 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1112   6.3   2:41.03 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1094   6.3   3:40.67 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1065   6.3   4:39.88 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1094   6.3   5:39.43 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1041   6.3   6:39.01 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1118   6.3   7:37.75 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1075   6.3   8:34.91 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1219   6.3   9:34.45 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1053   6.3  10:32.84 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1041   6.3  11:31.46 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1306   6.3  12:30.03 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1119   6.3  13:28.62 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1112   6.3  14:27.13 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1138   6.3  15:25.71 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1082   6.3  16:22.53 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1144   6.3  17:21.81 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1106   6.3  18:20.68 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1053   6.3  19:18.48 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1029   6.3  20:16.54 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1219   6.3  21:15.19 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1112   6.3  22:13.74 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1165   6.3  23:11.78 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1100   6.3  24:10.03 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1106   6.3  25:08.52 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1135   6.3  26:07.56 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1112   6.3  27:06.08 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1088   6.3  28:05.20 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1212   6.3  29:03.55 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1065   6.3  30:02.03 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1041   6.3  31:00.21 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1053   6.3  31:58.64 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1112   6.3  32:57.74 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1124   6.3  33:56.43 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1053   6.3  34:55.59 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1059   6.3  35:54.40 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1059   6.3  36:53.17 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1118   6.3  37:51.57 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1088   6.3  38:49.06 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1018   6.3  39:47.36 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1041   6.3  40:45.76 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1047   6.3  41:44.28 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1053   6.3  42:42.29 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1094   6.3  43:40.70 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1144   6.3  44:38.43 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1029   6.3  45:36.60 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1194   6.3  46:34.92 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1094   6.3  47:33.26 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1029   6.3  48:31.48 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1059   6.3  49:30.15 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1041   6.3  50:29.08 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1076   6.3  51:28.15 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1088   6.3  52:26.83 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1247   6.3  53:26.10 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1071   6.3  54:24.97 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1018   6.3  55:23.46 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1041   6.3  56:22.40 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1194   6.3  57:20.64 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1076   6.3  58:18.80 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1082   6.3  59:17.80 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1041   6.3  60:16.59 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1106   6.3  61:15.05 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1106   6.3  62:12.58 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1144   6.3  63:10.86 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1082   6.3  64:10.40 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1053   6.3  65:09.18 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1088   6.3  66:07.96 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1071   6.3  67:06.41 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1024   6.3  68:05.43 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1088   6.3  69:04.16 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1076   6.3  70:01.70 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1138   6.3  71:00.05 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1212   6.3  71:59.15 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1071   6.3  72:57.79 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1047   6.3  73:56.13 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1071   6.3  74:53.91 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1082   6.3  75:52.71 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1082   6.3  76:51.91 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1106   6.3  77:50.10 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1094   6.3  78:47.95 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1338   6.3  79:47.63 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1029   6.3  80:46.81 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1059   6.3  81:45.31 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1106   6.3  82:44.22 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1076   6.3  83:42.94 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1071   6.3  84:40.98 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1071   6.3  85:39.43 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1059   6.3  86:37.55 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1071   6.3  87:36.09 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1047   6.3  88:34.67 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1041   6.3  89:32.77 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1041   6.3  90:32.23 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1071   6.3  91:31.07 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1088   6.3  92:29.85 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1259   6.3  93:28.81 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1076   6.3  94:27.77 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1076   6.3  95:26.46 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1059   6.3  96:25.43 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1047   6.3  97:24.15 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1100   6.3  98:22.64 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1288   6.3  99:21.44 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1047   6.3 100:19.41 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1106   6.3 101:18.67 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1071   6.3 102:17.90 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1035   6.3 103:16.62 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1112   6.3 104:15.49 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1094   6.3 105:14.82 ego-host
 988029 root      20   0   34.0g  31.4g  31.4g S  1059   6.3 106:13.68 ego-host
