PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 811711 root      20   0   32.1g  78388   7056 R  70.6   0.0   0:00.12 ego-host
 811711 root      20   0   32.1g   7.0g   7.0g R  94.1   1.4   0:05.32 ego-host
 811711 root      20   0   32.1g  14.1g  14.0g R 100.0   2.8   0:10.51 ego-host
 811711 root      20   0   32.1g  21.1g  21.1g R 100.0   4.2   0:15.70 ego-host
 811711 root      20   0   32.1g  28.2g  28.1g R 100.0   5.6   0:20.89 ego-host
 811711 root      20   0   34.0g  31.4g  31.4g S 482.4   6.3   0:35.59 ego-host
 811711 root      20   0   34.0g  31.4g  31.4g S 550.0   6.3   1:02.97 ego-host
 811711 root      20   0   34.0g  31.4g  31.4g S 543.8   6.3   1:30.29 ego-host
 811711 root      20   0   34.0g  31.4g  31.4g S 543.8   6.3   1:57.44 ego-host
 811711 root      20   0   34.0g  31.4g  31.4g S 500.0   6.3   2:24.84 ego-host
 811711 root      20   0   34.0g  31.4g  31.4g S 511.8   6.3   2:52.28 ego-host
 811711 root      20   0   34.0g  31.4g  31.4g S 543.8   6.3   3:20.13 ego-host
 811711 root      20   0   34.0g  31.4g  31.4g S 531.2   6.3   3:47.83 ego-host
 811711 root      20   0   34.0g  31.4g  31.4g S 531.2   6.3   4:15.70 ego-host
 811711 root      20   0   34.0g  31.4g  31.4g S 550.0   6.3   4:43.20 ego-host
 811711 root      20   0   34.0g  31.4g  31.4g S 581.2   6.3   5:11.01 ego-host
 811711 root      20   0   34.0g  31.4g  31.4g S 537.5   6.3   5:38.82 ego-host
 811711 root      20   0   34.0g  31.4g  31.4g S 543.8   6.3   6:06.54 ego-host
 811711 root      20   0   34.0g  31.4g  31.4g S 494.1   6.3   6:34.31 ego-host
 811711 root      20   0   34.0g  31.4g  31.4g S 550.0   6.3   7:01.88 ego-host
 811711 root      20   0   34.0g  31.4g  31.4g S 537.5   6.3   7:29.60 ego-host
 811711 root      20   0   34.0g  31.4g  31.4g S 523.5   6.3   7:57.08 ego-host
 811711 root      20   0   34.0g  31.4g  31.4g S 531.2   6.3   8:24.59 ego-host
 811711 root      20   0   34.0g  31.4g  31.4g S 537.5   6.3   8:52.16 ego-host
 811711 root      20   0   34.0g  31.4g  31.4g S 543.8   6.3   9:19.94 ego-host
 811711 root      20   0   34.0g  31.4g  31.4g S 556.2   6.3   9:47.64 ego-host
 811711 root      20   0   34.0g  31.4g  31.4g S 494.1   6.3  10:15.35 ego-host
 811711 root      20   0   34.0g  31.4g  31.4g S 505.9   6.3  10:43.04 ego-host
