PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 735780 root      20   0   32.1g  78696   7368 R  81.2   0.0   0:00.13 ego-host
 735780 root      20   0   32.1g   7.1g   7.0g R 100.0   1.4   0:05.32 ego-host
 735780 root      20   0   32.1g  14.2g  14.1g R 100.0   2.8   0:10.51 ego-host
 735780 root      20   0   32.1g  21.3g  21.2g R 100.0   4.3   0:15.70 ego-host
 735780 root      20   0   32.1g  28.4g  28.3g R 100.0   5.7   0:20.89 ego-host
 735780 root      20   0   33.3g  31.4g  31.4g S 343.8   6.3   0:31.99 ego-host
 735780 root      20   0   33.3g  31.4g  31.4g S 350.0   6.3   0:49.79 ego-host
 735780 root      20   0   33.3g  31.4g  31.4g S 350.0   6.3   1:07.61 ego-host
 735780 root      20   0   33.5g  31.4g  31.4g S 317.6   6.3   1:25.44 ego-host
 735780 root      20   0   33.5g  31.4g  31.4g S 331.2   6.3   1:43.31 ego-host
 735780 root      20   0   33.5g  31.4g  31.4g S 335.3   6.3   2:01.09 ego-host
 735780 root      20   0   33.5g  31.4g  31.4g S 350.0   6.3   2:18.84 ego-host
 735780 root      20   0   33.5g  31.4g  31.4g S 343.8   6.3   2:36.69 ego-host
 735780 root      20   0   33.5g  31.4g  31.4g S 368.8   6.3   2:54.63 ego-host
 735780 root      20   0   33.5g  31.4g  31.4g S 362.5   6.3   3:12.61 ego-host
 735780 root      20   0   33.5g  31.4g  31.4g S 331.2   6.3   3:30.24 ego-host
 735780 root      20   0       0      0      0 R 100.0   0.0   3:43.40 ego-host
