PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 943596 root      20   0   32.1g  78916   7584 R  75.0   0.0   0:00.12 ego-host
 943596 root      20   0   32.1g   7.1g   7.0g R 100.0   1.4   0:05.32 ego-host
 943596 root      20   0   32.1g  14.2g  14.1g R 100.0   2.8   0:10.51 ego-host
 943596 root      20   0   32.1g  21.3g  21.2g R 100.0   4.3   0:15.70 ego-host
 943596 root      20   0   32.1g  28.4g  28.3g R 100.0   5.7   0:20.89 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 241.2   6.3   0:30.29 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 600.0   6.3   0:46.68 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 229.4   6.3   1:02.55 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 262.5   6.3   1:19.30 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 241.2   6.3   1:35.25 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 229.4   6.3   1:51.97 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 262.5   6.3   2:08.72 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 505.9   6.3   2:25.26 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 256.2   6.3   2:41.43 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 256.2   6.3   2:58.04 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 588.2   6.3   3:14.54 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 605.9   6.3   3:31.13 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 243.8   6.3   3:47.08 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 256.2   6.3   4:03.46 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 223.5   6.3   4:19.58 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 282.4   6.3   4:36.30 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 611.8   6.3   4:52.64 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 241.2   6.3   5:08.43 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 235.3   6.3   5:24.75 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 235.3   6.3   5:40.78 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 241.2   6.3   5:56.95 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 241.2   6.3   6:13.38 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 256.2   6.3   6:29.57 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 235.3   6.3   6:45.92 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 252.9   6.3   7:02.12 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 270.6   6.3   7:18.32 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 523.5   6.3   7:34.45 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 600.0   6.3   7:50.56 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 250.0   6.3   8:06.40 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 250.0   6.3   8:22.64 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 250.0   6.3   8:38.97 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 243.8   6.3   8:55.28 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 229.4   6.3   9:11.45 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 235.3   6.3   9:28.03 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 235.3   6.3   9:44.14 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 235.3   6.3  10:00.38 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 241.2   6.3  10:16.73 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 250.0   6.3  10:32.98 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 256.2   6.3  10:49.31 ego-host
 943596 root      20   0   34.0g  31.4g  31.4g S 235.3   6.3  11:05.40 ego-host
