PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 950691 root      20   0   32.1g  82076  10748 R  76.5   0.0   0:00.13 ego-host
 950691 root      20   0   32.1g   7.1g   7.0g R  94.1   1.4   0:05.32 ego-host
 950691 root      20   0   32.1g  14.1g  14.0g R 100.0   2.8   0:10.52 ego-host
 950691 root      20   0   32.1g  21.0g  20.9g R 100.0   4.2   0:15.71 ego-host
 950691 root      20   0   32.1g  27.9g  27.8g R 100.0   5.6   0:20.90 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 517.6   6.3   0:32.61 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 517.6   6.3   1:02.84 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 550.0   6.3   1:33.19 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 568.8   6.3   2:03.80 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 747.1   6.3   2:34.06 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 558.8   6.3   3:03.80 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 800.0   6.3   3:33.79 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 764.7   6.3   4:03.41 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 531.2   6.3   4:33.05 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 482.4   6.3   5:02.98 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 500.0   6.3   5:32.71 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 511.8   6.3   6:02.27 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 547.1   6.3   6:33.12 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 582.4   6.3   7:03.08 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 505.9   6.3   7:32.95 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 762.5   6.3   8:02.91 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 511.8   6.3   8:32.22 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 747.1   6.3   9:02.69 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 529.4   6.3   9:32.57 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 523.5   6.3  10:02.60 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 512.5   6.3  10:32.17 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 511.8   6.3  11:01.75 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 776.5   6.3  11:31.74 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 505.9   6.3  12:01.24 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 856.2   6.3  12:31.50 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 511.8   6.3  13:01.27 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 700.0   6.3  13:31.40 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 517.6   6.3  14:01.40 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 505.9   6.3  14:31.22 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 547.1   6.3  15:01.71 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 537.5   6.3  15:31.66 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 764.7   6.3  16:02.12 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 511.8   6.3  16:32.11 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 511.8   6.3  17:02.24 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 556.2   6.3  17:32.86 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 511.8   6.3  18:03.07 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 517.6   6.3  18:33.35 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 511.8   6.3  19:03.22 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 517.6   6.3  19:33.97 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 556.2   6.3  20:04.57 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 881.2   6.3  20:34.73 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 488.2   6.3  21:04.32 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 517.6   6.3  21:34.40 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 543.8   6.3  22:04.39 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 843.8   6.3  22:34.97 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 805.9   6.3  23:05.04 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 505.9   6.3  23:35.29 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 556.2   6.3  24:05.66 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 906.2   6.3  24:36.48 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 511.8   6.3  25:06.67 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 500.0   6.3  25:37.09 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 564.7   6.3  26:07.25 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 543.8   6.3  26:37.66 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 505.9   6.3  27:08.24 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 529.4   6.3  27:38.43 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 517.6   6.3  28:08.59 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 543.8   6.3  28:39.15 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 858.8   6.3  29:09.52 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 537.5   6.3  29:39.72 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 511.8   6.3  30:09.90 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 511.8   6.3  30:40.96 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 556.2   6.3  31:11.66 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 975.0   6.3  31:42.60 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 529.4   6.3  32:13.05 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 529.4   6.3  32:43.40 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 517.6   6.3  33:13.90 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 543.8   6.3  33:44.46 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 831.2   6.3  34:15.20 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 511.8   6.3  34:45.56 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 517.6   6.3  35:15.52 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 517.6   6.3  35:45.90 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 617.6   6.3  36:16.38 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 605.9   6.3  36:47.06 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 517.6   6.3  37:17.49 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 511.8   6.3  37:47.99 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 505.9   6.3  38:18.48 ego-host
 950691 root      20   0   34.0g  31.4g  31.4g S 517.6   6.3  38:49.01 ego-host
 950691 root      20   0       0      0      0 R 100.0   0.0  39:17.09 ego-host
