PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 863418 root      20   0   32.1g  80472   9140 R  76.5   0.0   0:00.13 ego-host
 863418 root      20   0   32.1g   7.1g   7.0g R 100.0   1.4   0:05.32 ego-host
 863418 root      20   0   32.1g  14.2g  14.1g R 100.0   2.8   0:10.52 ego-host
 863418 root      20   0   32.1g  21.2g  21.2g R  94.1   4.2   0:15.70 ego-host
 863418 root      20   0   32.1g  28.3g  28.2g R 100.0   5.7   0:20.89 ego-host
 863418 root      20   0   34.0g  31.4g  31.4g S 370.6   6.3   0:33.00 ego-host
 863418 root      20   0   34.0g  31.4g  31.4g S 376.5   6.3   0:53.94 ego-host
 863418 root      20   0   34.0g  31.4g  31.4g S 394.1   6.3   1:15.13 ego-host
 863418 root      20   0   34.0g  31.4g  31.4g S 364.7   6.3   1:35.50 ego-host
 863418 root      20   0   34.0g  31.4g  31.4g S 352.9   6.3   1:55.84 ego-host
 863418 root      20   0   34.0g  31.4g  31.4g S 358.8   6.3   2:16.59 ego-host
 863418 root      20   0   34.0g  31.4g  31.4g S 370.6   6.3   2:37.45 ego-host
 863418 root      20   0   34.0g  31.4g  31.4g S 405.9   6.3   2:58.36 ego-host
 863418 root      20   0   34.0g  31.4g  31.4g S 358.8   6.3   3:19.18 ego-host
 863418 root      20   0   34.0g  31.4g  31.4g S 417.6   6.3   3:40.16 ego-host
 863418 root      20   0   34.0g  31.4g  31.4g S 418.8   6.3   4:00.92 ego-host
 863418 root      20   0   34.0g  31.4g  31.4g S 376.5   6.3   4:21.50 ego-host
 863418 root      20   0   34.0g  31.4g  31.4g S 364.7   6.3   4:42.17 ego-host
 863418 root      20   0   34.0g  31.4g  31.4g S 376.5   6.3   5:03.04 ego-host
 863418 root      20   0   34.0g  31.4g  31.4g S 388.2   6.3   5:23.56 ego-host
 863418 root      20   0   34.0g  31.4g  31.4g S 423.5   6.3   5:44.32 ego-host
 863418 root      20   0   34.0g  31.4g  31.4g S 364.7   6.3   6:05.02 ego-host
 863418 root      20   0   34.0g  31.4g  31.4g S 358.8   6.3   6:25.67 ego-host
 863418 root      20   0   34.0g  31.4g  31.4g S 443.8   6.3   6:46.50 ego-host
 863418 root      20   0   34.0g  31.4g  31.4g S 370.6   6.3   7:07.12 ego-host
 863418 root      20   0   34.0g  31.4g  31.4g S 452.9   6.3   7:27.74 ego-host
 863418 root      20   0   34.0g  31.4g  31.4g S 376.5   6.3   7:48.50 ego-host
 863418 root      20   0   34.0g  31.4g  31.4g S 358.8   6.3   8:09.13 ego-host
 863418 root      20   0   34.0g  31.4g  31.4g S 341.2   6.3   8:29.56 ego-host
 863418 root      20   0   34.0g  31.4g  31.4g S 423.5   6.3   8:50.02 ego-host
