PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 905997 root      20   0   32.1g  81300   9968 R  81.2   0.0   0:00.13 ego-host
 905997 root      20   0   32.1g   7.1g   7.0g R  94.1   1.4   0:05.32 ego-host
 905997 root      20   0   32.1g  14.2g  14.1g R  94.1   2.8   0:10.51 ego-host
 905997 root      20   0   32.1g  21.3g  21.3g R  94.1   4.3   0:15.70 ego-host
 905997 root      20   0   32.1g  28.4g  28.4g R  94.1   5.7   0:20.89 ego-host
 905997 root      20   0   34.0g  31.4g  31.4g S  1106   6.3   0:52.70 ego-host
 905997 root      20   0   34.0g  31.4g  31.4g S  1188   6.3   1:52.70 ego-host
 905997 root      20   0   34.0g  31.4g  31.4g S  1094   6.3   2:52.17 ego-host
 905997 root      20   0   34.0g  31.4g  31.4g S  1175   6.3   3:51.88 ego-host
 905997 root      20   0   34.0g  31.4g  31.4g S  1212   6.3   4:51.36 ego-host
 905997 root      20   0   34.0g  31.4g  31.4g S  1194   6.3   5:50.74 ego-host
 905997 root      20   0   34.0g  31.4g  31.4g S  1106   6.3   6:50.48 ego-host
 905997 root      20   0   34.0g  31.4g  31.4g S  1135   6.3   7:49.66 ego-host
 905997 root      20   0   34.0g  31.4g  31.4g S  1094   6.3   8:49.10 ego-host
 905997 root      20   0   34.0g  31.4g  31.4g S  1112   6.3   9:48.42 ego-host
 905997 root      20   0   34.0g  31.4g  31.4g S  1071   6.3  10:47.81 ego-host
 905997 root      20   0   34.0g  31.4g  31.4g S  1088   6.3  11:46.82 ego-host
 905997 root      20   0   34.0g  31.4g  31.4g S  1112   6.3  12:45.94 ego-host
 905997 root      20   0   34.0g  31.4g  31.4g S  1156   6.3  13:45.29 ego-host
 905997 root      20   0   34.0g  31.4g  31.4g S  1206   6.3  14:44.55 ego-host
 905997 root      20   0   34.0g  31.4g  31.4g S  1206   6.3  15:43.61 ego-host
 905997 root      20   0   34.0g  31.4g  31.4g S  1175   6.3  16:42.67 ego-host
 905997 root      20   0   34.0g  31.4g  31.4g S  1162   6.3  17:41.47 ego-host
 905997 root      20   0   34.0g  31.4g  31.4g S  1181   6.3  18:40.33 ego-host
 905997 root      20   0   34.0g  31.4g  31.4g S  1129   6.3  19:39.11 ego-host
 905997 root      20   0   34.0g  31.4g  31.4g S  1094   6.3  20:38.01 ego-host
 905997 root      20   0   34.0g  31.4g  31.4g S  1225   6.3  21:37.46 ego-host
