PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 716333 root      20   0   32.1g  78496   7164 R  76.5   0.0   0:00.13 ego-host
 716333 root      20   0   32.1g   7.1g   7.0g R 100.0   1.4   0:05.32 ego-host
 716333 root      20   0   32.1g  14.1g  14.1g R 100.0   2.8   0:10.52 ego-host
 716333 root      20   0   32.1g  21.2g  21.2g R 100.0   4.2   0:15.70 ego-host
 716333 root      20   0   32.1g  28.3g  28.2g R 100.0   5.7   0:20.89 ego-host
 716333 root      20   0   33.1g  31.4g  31.4g S 158.8   6.3   0:27.83 ego-host
 716333 root      20   0   33.2g  31.4g  31.4g S 193.8   6.3   0:37.38 ego-host
 716333 root      20   0   33.2g  31.4g  31.4g S 193.8   6.3   0:46.65 ego-host
 716333 root      20   0   33.2g  31.4g  31.4g S 181.2   6.3   0:56.04 ego-host
 716333 root      20   0   33.2g  31.4g  31.4g S 187.5   6.3   1:05.90 ego-host
 716333 root      20   0   33.2g  31.4g  31.4g S 181.2   6.3   1:15.64 ego-host
 716333 root      20   0   33.2g  31.4g  31.4g S 200.0   6.3   1:25.47 ego-host
 716333 root      20   0   33.2g  31.4g  31.4g S 187.5   6.3   1:35.09 ego-host
 716333 root      20   0   33.2g  31.4g  31.4g S 193.8   6.3   1:45.09 ego-host
 716333 root      20   0   33.2g  31.4g  31.4g S 194.1   6.3   1:54.93 ego-host
 716333 root      20   0   33.2g  31.4g  31.4g S 176.5   6.3   2:04.90 ego-host
 716333 root      20   0   33.2g  31.4g  31.4g S 206.2   6.3   2:14.87 ego-host
 716333 root      20   0   33.2g  31.4g  31.4g S 200.0   6.3   2:24.99 ego-host
 716333 root      20   0   33.2g  31.4g  31.4g S 164.7   6.3   2:34.84 ego-host
 716333 root      20   0   33.2g  31.4g  31.4g S 206.2   6.3   2:44.81 ego-host
 716333 root      20   0   33.2g  31.4g  31.4g S 176.5   6.3   2:54.74 ego-host
