PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 922080 root      20   0   32.1g  79836   8504 R  76.5   0.0   0:00.13 ego-host
 922080 root      20   0   32.1g   7.1g   7.0g R 100.0   1.4   0:05.33 ego-host
 922080 root      20   0   32.1g  14.2g  14.1g R 100.0   2.8   0:10.52 ego-host
 922080 root      20   0   32.1g  21.2g  21.2g R 100.0   4.3   0:15.70 ego-host
 922080 root      20   0   32.1g  28.3g  28.3g R 100.0   5.7   0:20.90 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 200.0   6.3   0:29.52 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 188.2   6.3   0:42.85 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 233.3   6.3   0:56.92 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 188.2   6.3   1:10.24 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 182.4   6.3   1:23.72 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 218.8   6.3   1:37.71 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 200.0   6.3   1:50.75 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 558.8   6.3   2:04.52 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 188.2   6.3   2:17.66 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 188.2   6.3   2:31.29 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 505.9   6.3   2:44.91 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 182.4   6.3   2:58.30 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 200.0   6.3   3:12.48 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 188.2   6.3   3:25.88 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 194.1   6.3   3:39.83 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 552.9   6.3   3:53.77 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 188.2   6.3   4:07.32 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 200.0   6.3   4:20.88 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 194.1   6.3   4:34.82 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 188.2   6.3   4:48.20 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 505.9   6.3   5:02.19 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 206.2   6.3   5:15.53 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 206.2   6.3   5:28.81 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 206.2   6.3   5:42.31 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 200.0   6.3   5:55.87 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 537.5   6.3   6:09.39 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 200.0   6.3   6:22.48 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 517.6   6.3   6:35.96 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 588.2   6.3   6:49.33 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 556.2   6.3   7:02.83 ego-host
 922080 root      20   0   34.0g  31.4g  31.4g S 200.0   6.3   7:15.99 ego-host
