PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 888995 root      20   0   32.1g  79060   7728 R  76.5   0.0   0:00.13 ego-host
 888995 root      20   0   32.1g   7.1g   7.0g R  94.1   1.4   0:05.32 ego-host
 888995 root      20   0   32.1g  14.2g  14.1g R 100.0   2.8   0:10.51 ego-host
 888995 root      20   0   32.1g  21.3g  21.2g R  94.1   4.3   0:15.70 ego-host
 888995 root      20   0   32.1g  28.4g  28.3g R 100.0   5.7   0:20.89 ego-host
 888995 root      20   0   34.0g  31.4g  31.4g S  1081   6.3   0:47.85 ego-host
 888995 root      20   0   34.0g  31.4g  31.4g S 935.3   6.3   1:39.40 ego-host
 888995 root      20   0   34.0g  31.4g  31.4g S 947.1   6.3   2:30.58 ego-host
 888995 root      20   0   34.0g  31.4g  31.4g S 988.2   6.3   3:21.53 ego-host
 888995 root      20   0   34.0g  31.4g  31.4g S 923.5   6.3   4:12.41 ego-host
 888995 root      20   0   34.0g  31.4g  31.4g S 958.8   6.3   5:03.03 ego-host
 888995 root      20   0   34.0g  31.4g  31.4g S 952.9   6.3   5:53.39 ego-host
 888995 root      20   0   34.0g  31.4g  31.4g S 952.9   6.3   6:43.90 ego-host
 888995 root      20   0   34.0g  31.4g  31.4g S  1024   6.3   7:35.28 ego-host
 888995 root      20   0   34.0g  31.4g  31.4g S 970.6   6.3   8:26.48 ego-host
 888995 root      20   0   34.0g  31.4g  31.4g S  1006   6.3   9:17.53 ego-host
 888995 root      20   0   34.0g  31.4g  31.4g S 900.0   6.3  10:08.50 ego-host
 888995 root      20   0   34.0g  31.4g  31.4g S 976.5   6.3  10:59.69 ego-host
 888995 root      20   0   34.0g  31.4g  31.4g S 923.5   6.3  11:50.06 ego-host
 888995 root      20   0   34.0g  31.4g  31.4g S 905.9   6.3  12:40.60 ego-host
 888995 root      20   0   34.0g  31.4g  31.4g S 935.3   6.3  13:30.97 ego-host
 888995 root      20   0   34.0g  31.4g  31.4g S 935.3   6.3  14:21.56 ego-host
 888995 root      20   0   34.0g  31.4g  31.4g S 964.7   6.3  15:12.07 ego-host
 888995 root      20   0   34.0g  31.4g  31.4g S 894.1   6.3  16:01.92 ego-host
 888995 root      20   0   34.0g  31.4g  31.4g S 941.2   6.3  16:53.03 ego-host
 888995 root      20   0   34.0g  31.4g  31.4g S 941.2   6.3  17:43.51 ego-host
 888995 root      20   0   34.0g  31.4g  31.4g S 982.4   6.3  18:34.07 ego-host
 888995 root      20   0   34.0g  31.4g  31.4g S  1006   6.3  19:24.77 ego-host
 888995 root      20   0   34.0g  31.4g  31.4g S 911.8   6.3  20:15.22 ego-host
 888995 root      20   0   34.0g  31.4g  31.4g S 911.8   6.3  21:05.03 ego-host
 888995 root      20   0       0      0      0 R 100.0   0.0  21:54.61 ego-host
