PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 880470 root      20   0   32.1g  79840   8512 R  76.5   0.0   0:00.13 ego-host
 880470 root      20   0   32.1g   7.0g   7.0g R  94.1   1.4   0:05.32 ego-host
 880470 root      20   0   32.1g  14.1g  14.0g R 100.0   2.8   0:10.52 ego-host
 880470 root      20   0   32.1g  21.1g  21.0g R 100.0   4.2   0:15.70 ego-host
 880470 root      20   0   32.1g  28.1g  28.0g R 100.0   5.6   0:20.89 ego-host
 880470 root      20   0   34.0g  31.4g  31.4g S 452.9   6.3   0:34.53 ego-host
 880470 root      20   0   34.0g  31.4g  31.4g S 441.2   6.3   0:59.19 ego-host
 880470 root      20   0   34.0g  31.4g  31.4g S 517.6   6.3   1:24.02 ego-host
 880470 root      20   0   34.0g  31.4g  31.4g S 481.2   6.3   1:49.15 ego-host
 880470 root      20   0   34.0g  31.4g  31.4g S 531.2   6.3   2:14.25 ego-host
 880470 root      20   0   34.0g  31.4g  31.4g S 482.4   6.3   2:39.80 ego-host
 880470 root      20   0   34.0g  31.4g  31.4g S 435.3   6.3   3:04.85 ego-host
 880470 root      20   0   34.0g  31.4g  31.4g S 488.2   6.3   3:30.21 ego-host
 880470 root      20   0   34.0g  31.4g  31.4g S 537.5   6.3   3:55.39 ego-host
 880470 root      20   0   34.0g  31.4g  31.4g S 525.0   6.3   4:20.78 ego-host
 880470 root      20   0   34.0g  31.4g  31.4g S 525.0   6.3   4:45.93 ego-host
 880470 root      20   0   34.0g  31.4g  31.4g S 537.5   6.3   5:11.19 ego-host
 880470 root      20   0   34.0g  31.4g  31.4g S 531.2   6.3   5:36.13 ego-host
 880470 root      20   0   34.0g  31.4g  31.4g S 475.0   6.3   6:01.37 ego-host
 880470 root      20   0   34.0g  31.4g  31.4g S 487.5   6.3   6:26.74 ego-host
 880470 root      20   0   34.0g  31.4g  31.4g S 525.0   6.3   6:52.29 ego-host
 880470 root      20   0   34.0g  31.4g  31.4g S 482.4   6.3   7:17.67 ego-host
 880470 root      20   0   34.0g  31.4g  31.4g S 435.3   6.3   7:42.89 ego-host
 880470 root      20   0   34.0g  31.4g  31.4g S 435.3   6.3   8:08.06 ego-host
 880470 root      20   0       0      0      0 R 100.0   0.0   8:25.46 ego-host
