PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 834545 root      20   0   32.1g  77792   6460 R  76.5   0.0   0:00.13 ego-host
 834545 root      20   0   32.1g   7.0g   7.0g R 100.0   1.4   0:05.32 ego-host
 834545 root      20   0   32.1g  14.1g  14.0g R 100.0   2.8   0:10.51 ego-host
 834545 root      20   0   32.1g  21.1g  21.0g R 100.0   4.2   0:15.70 ego-host
 834545 root      20   0   32.1g  28.1g  28.1g R 100.0   5.6   0:20.88 ego-host
 834545 root      20   0   34.0g  31.4g  31.4g S 918.8   6.3   0:44.13 ego-host
 834545 root      20   0   34.0g  31.4g  31.4g S 870.6   6.3   1:31.16 ego-host
 834545 root      20   0   34.0g  31.4g  31.4g S 912.5   6.3   2:17.92 ego-host
 834545 root      20   0   34.0g  31.4g  31.4g S 870.6   6.3   3:04.97 ego-host
 834545 root      20   0   34.0g  31.4g  31.4g S 912.5   6.3   3:52.57 ego-host
 834545 root      20   0   34.0g  31.4g  31.4g S 858.8   6.3   4:40.24 ego-host
 834545 root      20   0   34.0g  31.4g  31.4g S 931.2   6.3   5:28.57 ego-host
 834545 root      20   0   34.0g  31.4g  31.4g S 918.8   6.3   6:17.26 ego-host
 834545 root      20   0   34.0g  31.4g  31.4g S 870.6   6.3   7:05.77 ego-host
 834545 root      20   0   34.0g  31.4g  31.4g S 962.5   6.3   7:54.57 ego-host
 834545 root      20   0   34.0g  31.4g  31.4g S 968.8   6.3   8:43.16 ego-host
 834545 root      20   0   34.0g  31.4g  31.4g S 937.5   6.3   9:30.83 ego-host
 834545 root      20   0   34.0g  31.4g  31.4g S 864.7   6.3  10:18.44 ego-host
 834545 root      20   0   34.0g  31.4g  31.4g S 931.2   6.3  11:05.52 ego-host
 834545 root      20   0   34.0g  31.4g  31.4g S 918.8   6.3  11:52.63 ego-host
 834545 root      20   0   34.0g  31.4g  31.4g S 858.8   6.3  12:40.08 ego-host
 834545 root      20   0   34.0g  31.4g  31.4g S 918.8   6.3  13:27.39 ego-host
 834545 root      20   0   34.0g  31.4g  31.4g S 937.5   6.3  14:14.54 ego-host
 834545 root      20   0   34.0g  31.4g  31.4g S 900.0   6.3  15:01.58 ego-host
 834545 root      20   0   34.0g  31.4g  31.4g S 925.0   6.3  15:49.13 ego-host
 834545 root      20   0   34.0g  31.4g  31.4g S 925.0   6.3  16:36.86 ego-host
 834545 root      20   0   34.0g  31.4g  31.4g S 912.5   6.3  17:24.38 ego-host
 834545 root      20   0   34.0g  31.4g  31.4g S 888.2   6.3  18:12.32 ego-host
 834545 root      20   0   34.0g  31.4g  31.4g S 876.5   6.3  19:00.02 ego-host
 834545 root      20   0   34.0g  31.4g  31.4g S 943.8   6.3  19:48.05 ego-host
 834545 root      20   0   34.0g  31.4g  31.4g S 864.7   6.3  20:35.78 ego-host
 834545 root      20   0       0      0      0 R 100.0   0.0  21:16.28 ego-host
