PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 842352 root      20   0 2898040  27604   3232 R  1018   0.0   0:01.73 exe
 842352 root      20   0 4084788  36264   3232 S  1341   0.0   1:16.48 exe
 842352 root      20   0 4150632  37032   3232 R  1329   0.0   2:30.68 exe
 842352 root      20   0 4150888  37120   3232 S  1412   0.0   3:44.98 exe
 842352 root      20   0 4150888  37828   3232 S  1438   0.0   4:59.49 exe
 842352 root      20   0 4216732  39020   3232 S  1306   0.0   6:13.56 exe
 842352 root      20   0 4216732  39692   3232 R  1475   0.0   7:27.32 exe
 842352 root      20   0 4282832  39696   3232 R  1488   0.0   8:41.73 exe
 842352 root      20   0 4348676  39992   3232 S  1456   0.0   9:56.05 exe
 842352 root      20   0 4348676  39992   3232 S  1400   0.0  11:11.09 exe
 842352 root      20   0 4348676  39992   3232 S  1481   0.0  12:25.33 exe
 842352 root      20   0 4348676  39992   3232 S  1456   0.0  13:39.39 exe
 842352 root      20   0 4348932  39992   3232 S  1376   0.0  14:53.50 exe
 842352 root      20   0 4348932  39992   3232 S  1462   0.0  16:07.66 exe
 842352 root      20   0 4414776  40148   3264 R  1381   0.0  17:22.00 exe
 842352 root      20   0 4414776  40152   3264 S  1441   0.0  18:36.28 exe
 842352 root      20   0 4414776  40152   3264 S  1500   0.0  19:50.08 exe
 842352 root      20   0 4414776  40152   3264 S  1456   0.0  21:04.53 exe
 842352 root      20   0 4480628  40300   3264 R  1412   0.0  22:18.77 exe
 842352 root      20   0 4480628  40300   3264 S  1412   0.0  23:33.05 exe
 842352 root      20   0 4480628  40300   3264 S  1431   0.0  24:47.61 exe
 842352 root      20   0 4546472  40300   3264 S  1406   0.0  26:01.95 exe
 842352 root      20   0 4546472  40300   3264 S  1419   0.0  27:16.51 exe
 842352 root      20   0 4546472  40300   3264 R  1512   0.0  28:31.20 exe
 842352 root      20   0 4546472  40300   3264 S  1335   0.0  29:45.75 exe
 842352 root      20   0 4546472  40300   3264 S  1406   0.0  30:59.97 exe
 842352 root      20   0 4546472  40300   3264 S  1412   0.0  32:14.08 exe
 842352 root      20   0 4612316  40628   3264 S  1356   0.0  33:28.46 exe
 842352 root      20   0 4612316  40628   3264 R  1456   0.0  34:43.42 exe
 842352 root      20   0 4612316  40628   3264 R  1329   0.0  35:57.82 exe
 842352 root      20   0 4612316  40628   3264 S  1469   0.0  37:12.60 exe
 842352 root      20   0 4612316  40628   3264 R  1276   0.0  38:27.63 exe
 842352 root      20   0 4612316  40628   3264 R  1488   0.0  39:42.53 exe
 842352 root      20   0 4612316  40628   3264 S  1419   0.0  40:56.70 exe
 842352 root      20   0 4612316  40628   3264 S  1371   0.0  42:11.36 exe
 842352 root      20   0 4612316  40628   3264 S  1371   0.0  43:26.16 exe
 842352 root      20   0 4612316  40628   3264 S  1412   0.0  44:40.84 exe
 842352 root      20   0 4612316  41328   3264 S  1456   0.0  45:55.57 exe
